Metric,Value
timing__unannotated_net__count__corner:nom_ss_100C_1v60,669
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,669
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,81
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.7770544427851545
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.6854910166856534
timing__hold__ws__corner:min_tt_025C_1v80,0.24612690360232964
timing__setup__ws__corner:min_tt_025C_1v80,4.013813395263056
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.246127
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,4.013813
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,669
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,278
design__max_fanout_violation__count__corner:min_ss_100C_1v60,0
design__max_cap_violation__count__corner:min_ss_100C_1v60,92
clock__skew__worst_hold__corner:min_ss_100C_1v60,-1.1601944178206787
clock__skew__worst_setup__corner:min_ss_100C_1v60,1.0580847608673907
timing__hold__ws__corner:min_ss_100C_1v60,-0.2688125353952988
timing__setup__ws__corner:min_ss_100C_1v60,-2.918369628560444
timing__hold__tns__corner:min_ss_100C_1v60,-0.9019829582981347
timing__setup__tns__corner:min_ss_100C_1v60,-138.1035485060339
timing__hold__wns__corner:min_ss_100C_1v60,-0.2688125353952988
timing__setup__wns__corner:min_ss_100C_1v60,-2.918369628560444
timing__hold_vio__count__corner:min_ss_100C_1v60,4
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.772188
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,104
timing__setup_r2r__ws__corner:min_ss_100C_1v60,-2.918370
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,104
timing__unannotated_net__count__corner:min_ss_100C_1v60,669
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,0
design__max_cap_violation__count__corner:min_ff_n40C_1v95,80
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.6043368199148259
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.5453248007510437
timing__hold__ws__corner:min_ff_n40C_1v95,0.05865996743271688
timing__setup__ws__corner:min_ff_n40C_1v95,6.897984600984168
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.058660
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,6.897985
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,669
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,2
design__max_fanout_violation__count__corner:max_tt_025C_1v80,0
design__max_cap_violation__count__corner:max_tt_025C_1v80,106
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.874209618328628
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.7492305876665987
timing__hold__ws__corner:max_tt_025C_1v80,0.22358981965425656
timing__setup__ws__corner:max_tt_025C_1v80,3.5122270530494553
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.223590
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,3.512227
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,669
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,1038
design__max_fanout_violation__count__corner:max_ss_100C_1v60,0
design__max_cap_violation__count__corner:max_ss_100C_1v60,138
clock__skew__worst_hold__corner:max_ss_100C_1v60,-1.3237655790662557
clock__skew__worst_setup__corner:max_ss_100C_1v60,1.1346455207662227
timing__hold__ws__corner:max_ss_100C_1v60,-0.5373346364391416
timing__setup__ws__corner:max_ss_100C_1v60,-3.6291006782463673
timing__hold__tns__corner:max_ss_100C_1v60,-4.467128127179159
timing__setup__tns__corner:max_ss_100C_1v60,-220.25431346637285
timing__hold__wns__corner:max_ss_100C_1v60,-0.5373346364391416
timing__setup__wns__corner:max_ss_100C_1v60,-3.6291006782463673
timing__hold_vio__count__corner:max_ss_100C_1v60,18
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.720444
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,114
timing__setup_r2r__ws__corner:max_ss_100C_1v60,-3.629101
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,114
