net,length_um
stage8_inst.in1\[24\],353.98
_10104_,353.86
stage8_inst.in5\[14\],353.84
stage8_inst.in1\[23\],353.4
stage8_inst.in0\[10\],352.56
stage8_inst.in5\[8\],352.47
stage8_inst.in0\[20\],352.23
stage8_inst.in1\[9\],351.7
net84,351.66
_07757_,350.75
_10629_,350.71
clknet_5_12__leaf_clk,350.63
stage8_inst.in5\[17\],350.58
stage8_inst.in1\[7\],350.3
_07739_,350.28
_10218_,350.26
net276,350.1
_06804_,349.39
stage8_inst.in4\[19\],349.12
_04520_,348.12
net282,348.11
stage8_inst.in5\[7\],347.34
_09752_,347.26
_02563_,347.24
stage8_inst.in3\[11\],347.125
stage8_inst.in0\[8\],346.34
stage8_inst.in1\[12\],345.98
stage8_inst.in7\[21\],345.7
stage8_inst.in7\[17\],344.78
_03964_,344.41
stage8_inst.in3\[14\],344.24
stage8_inst.in7\[18\],343.98
_07153_,343.86
_10105_,343.74
stage8_inst.in0\[16\],341.92
_06689_,341.74
stage8_inst.stage4_upper.stage2_pair1.butterfly_inst.mul_inst.phase\[1\],340.97
stage8_inst.in1\[28\],340.46
_07692_,340.08
net83,340.08
stage8_inst.in1\[5\],339.8
stage8_inst.in5\[16\],339.34
clknet_5_29__leaf_clk,339.02
_07682_,338.78
_03057_,338.755
_02881_,338.685
_10421_,338.54
_04522_,337.75
_02697_,337.64
_04792_,337.42
stage8_inst.in3\[17\],337.4
_07699_,336.86
_10606_,336.435
_03415_,336.12
stage8_inst.in3\[8\],335.265
_10368_,335.16
stage8_inst.stage4_lower.stage2_pair0.butterfly_inst.mul_done,334.56
_08354_,334.32
_10835_,334.07
stage8_inst.in5\[3\],333.72
_08895_,333.56
stage8_inst.in5\[28\],333.44
stage8_inst.in3\[9\],332.665
stage8_inst.in1\[19\],332.55
_02819_,332.31
stage8_inst.in4\[15\],332.11
stage8_inst.in4\[25\],331.42
stage8_inst.in7\[14\],331.28
_04480_,331.2
_05024_,331.13
_07705_,331.105
stage8_inst.in7\[22\],331.02
net385,330.95
_06945_,330.37
stage8_inst.in1\[21\],329.94
_09725_,329.78
_12002_,329.44
stage8_inst.in5\[23\],329.36
stage8_inst.in7\[20\],329.34
_05025_,329.18
_05022_,328.465
_10377_,328.3
stage8_inst.in5\[4\],328.3
stage8_inst.in5\[27\],327.96
_03962_,327.18
stage8_inst.in7\[19\],326.9
stage8_inst.in5\[5\],326.62
_02557_,326.38
stage8_inst.in5\[21\],326.38
stage8_inst.in1\[27\],325.86
