net,length_um
_02536_,752.5
net77,750.08
_01834_,748.215
net29,746.8
net32,745.52
_16842_,743.99
_24873_,743.5
_02272_,742.04
_36668_,739.16
_04622_,738.28
net108,730.5
clknet_3_0__leaf_clk,727.3
net87,725.79
net13,725.68
_02228_,723.155
_02213_,720.14
net100,718.78
_00518_,716.375
_42399_,706.28
_02551_,706.06
stage8_inst.stage4_lower.stage2_pair0.butterfly_inst.mul_inst.b\[29\],701.195
net11,696.86
net95,690.2
_03185_,688.125
_02291_,685.61
_01165_,679.905
_05839_,674.58
net134,668.79
_02404_,667.89
_42026_,658.415
net17,655.1
clknet_3_2__leaf_clk,653.18
_10501_,645.94
_02232_,639.13
_02399_,638.77
_25386_,638.4
_13651_,635.88
_04731_,622.38
stage8_inst.stage4_lower.stage2_pair0.butterfly_inst.mul_inst.b\[23\],621.84
stage8_inst.stage4_lower.stage2_pair0.butterfly_inst.mul_inst.b\[30\],616.27
stage8_inst.stage4_lower.stage2_pair0.butterfly_inst.mul_inst.b\[27\],615.71
_01099_,610.93
_07353_,610.88
_03386_,605.62
_00781_,604.95
net25,602.9
_14412_,596.38
_10194_,596.04
_41543_,590.48
_02252_,587.92
_05477_,587.82
_06871_,587
net88,585.48
_06223_,584.505
net126,581.535
net125,578.45
_06991_,578.31
net136,574.94
_35033_,567
_06596_,563.88
net84,563.7
net130,559.12
net127,558.65
_35023_,556.07
_01439_,555.76
_05115_,554.54
_07715_,553.88
_08439_,551.68
net299,550.33
_16513_,549.43
stage8_inst.stage4_lower.stage2_pair0.butterfly_inst.mul_inst.b\[25\],549.41
net72,549.405
_05730_,548.53
net30,548.4
stage8_inst.stage4_upper.stage2_pair0.butterfly_inst.mul_inst.b\[31\],548.32
net138,548.2
_01768_,547.31
net128,545.91
net131,544.64
_06092_,544.085
_05368_,543.175
_02908_,543.065
clknet_3_6__leaf_clk,541.19
net139,540.58
_02573_,537.95
_41675_,537.63
net137,537.58
_08692_,535.015
net135,533.84
_37276_,532.96
stage8_inst.stage4_lower.stage2_pair0.butterfly_inst.mul_inst.b\[26\],532.365
stage8_inst.stage4_upper.stage2_pair0.butterfly_inst.mul_inst.b\[29\],530.435
net78,529.8
_04007_,526.315
_00119_,524.4
net129,523.53
_12147_,520.68
net15,518.74
_02397_,518.635
net1,517.48
net5,514.85
net132,514.34
_30840_,514.29
_01088_,513.25
stage8_inst.in3\[29\],512.32
_35036_,512.1
net35,510.03
_33734_,509.69
stage8_inst.stage4_upper.stage2_pair0.butterfly_inst.mul_inst.b\[26\],509.69
_02108_,509.55
net3,509.33
_37274_,507.22
_06487_,506.8
_07968_,504.185
_00118_,503.43
_02484_,501.68
stage8_inst.stage4_upper.stage2_pair0.butterfly_inst.mul_inst.b\[23\],499.865
_37277_,499.24
net123,496.87
_01285_,496.04
stage8_inst.stage4_upper.stage2_pair0.butterfly_inst.mul_inst.b\[30\],495.47
_03645_,494.78
_37343_,493.94
_09481_,493.84
_09372_,493.66
net291,492.57
_04369_,492.49
_07244_,492.26
_41916_,491.065
_08077_,488.01
net99,484.8
clknet_3_7__leaf_clk,484.8
stage8_inst.stage4_lower.stage2_pair0.butterfly_inst.mul_inst.b\[22\],481.82
stage8_inst.stage4_upper.stage2_pair0.butterfly_inst.mul_inst.b\[28\],481.36
net7,480.04
net301,479.94
_41784_,479.75
_27065_,478.34
_10607_,476.85
_02747_,476.645
_23718_,476.1
net133,472.81
_38219_,472.14
_00945_,471.18
net27,469.56
_41345_,467.485
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.mul_inst.b\[13\],467.4
stage8_inst.stage4_upper.stage2_pair0.butterfly_inst.mul_inst.b\[22\],467.24
_00770_,465.985
_02374_,465.795
_36194_,463.57
_08330_,463.305
_10490_,463.22
_13854_,462.94
net140,462.57
_02921_,462.44
_03097_,460.93
_01614_,458.44
_09032_,458.225
_08801_,455.71
net24,455.08
_38324_,454.68
_09141_,454.5
stage8_inst.in7\[19\],453.78
_38325_,452.52
_37335_,451.86
_02496_,451.75
_38386_,451.32
_02375_,451.09
_03651_,450.925
net91,450.58
_23583_,449.2
_09734_,449.02
_07606_,447.945
clknet_3_4__leaf_clk,447.85
_13855_,447.74
_27361_,447.71
_00989_,444.745
_42486_,443.08
_23656_,441.89
_42157_,441.02
net282,440.21
_42037_,439.9
_36671_,439.8
_03294_,439.15
_26653_,437.07
_02400_,436.88
_38455_,436.74
_27778_,432.67
_03385_,432.64
_27780_,432.15
_27539_,431.74
_02514_,431.24
net320,429.98
_38390_,427.98
_24322_,426.51
_03034_,426.26
_27369_,425.03
_24320_,424.76
net21,423.3
_03470_,423.14
stage8_inst.in6\[0\],422.96
net16,422.74
_40036_,422.26
_31497_,421.93
_14411_,420.965
net18,419.54
stage8_inst.stage4_upper.stage2_pair1.butterfly_inst.mul_inst.b\[14\],418.74
_24016_,418.67
_26651_,418.44
stage8_inst.stage4_upper.stage2_pair0.butterfly_inst.mul_inst.b\[27\],418.4
stage8_inst.in6\[2\],417.46
_09843_,416.14
_23789_,415.98
_13825_,415.22
_29611_,415.135
_02265_,414.98
_03033_,414.36
net14,413.05
_31329_,412.53
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.mul_inst.b\[31\],412.44
_13902_,412.23
_41905_,411.555
_16769_,411.05
_13727_,410.92
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.mul_inst.b\[11\],410.89
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.mul_inst.b\[9\],410.34
_26901_,409.96
_02732_,409.42
_00627_,408.435
_15655_,408.36
_20520_,407.99
_02285_,406.87
_31328_,406.06
_11069_,405.43
_10618_,405.31
_27064_,404.49
_29609_,404.39
_23782_,404.2
_26648_,404.11
_37337_,402.02
stage8_inst.stage4_lower.stage2_pair0.butterfly_inst.mul_inst.b\[24\],401.56
net4,400.88
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.mul_inst.b\[4\],400.43
stage8_inst.in7\[18\],400.235
_10414_,399.8
_36685_,399.41
_36853_,398.97
_24008_,398.2
_03036_,397.9
net198,396.76
_36754_,396.36
_27541_,395.56
_36190_,394.3
_26905_,393.34
net6,392.42
net380,392.29
_24334_,391.31
_34991_,391.28
_13533_,391.14
_37762_,390.95
stage8_inst.in6\[10\],390.64
_02382_,390.58
stage8_inst.in3\[21\],390.46
stage8_inst.in6\[1\],390.035
_38471_,389.98
_36922_,389.9
stage8_inst.stage4_upper.stage2_pair1.butterfly_inst.mul_inst.b\[17\],389.48
_37076_,387.05
stage8_inst.in7\[16\],386.94
_02974_,386.25
_27068_,386.04
_36925_,385.49
_10096_,384.675
stage8_inst.stage4_upper.stage2_pair0.butterfly_inst.mul_inst.b\[25\],384.19
_38432_,382.98
_26508_,382.86
_06279_,381.86
stage8_inst.in3\[22\],381.6
_33858_,381.135
_37837_,380.52
stage8_inst.in6\[5\],380.495
_33759_,379.95
_27942_,378.35
_24861_,377.82
_33687_,377.575
stage8_inst.in3\[18\],377.37
_26650_,377.34
stage8_inst.stage4_lower.stage2_pair0.butterfly_inst.mul_inst.b\[20\],377.31
_26897_,377.095
_03027_,376.62
_27368_,375.53
_05126_,375.21
stage8_inst.stage4_upper.stage2_pair1.butterfly_inst.mul_inst.b\[18\],374.86
_02726_,374.695
_10348_,373.65
net302,373.51
_10249_,373.495
_27944_,372.37
_35947_,372.28
_27941_,372.26
_27063_,372.16
_14177_,371.78
stage8_inst.stage4_upper.stage2_pair0.butterfly_inst.mul_inst.b\[24\],371.5
_01406_,371.02
_15656_,370.31
stage8_inst.in6\[20\],369.1
_36681_,368.82
stage8_inst.in6\[6\],367.62
_24316_,367.4
_37306_,366.68
_33743_,366.62
_14114_,366.58
stage8_inst.stage4_lower.stage2_pair0.butterfly_inst.mul_inst.b\[28\],365.6
_07434_,364.9
_02500_,363.675
_06255_,363.32
_15778_,363.01
_27783_,362.67
_16615_,362.32
_37341_,362.01
_01943_,361.88
net439,361.63
_33737_,361.55
_31326_,361.31
_25986_,360.38
_06410_,359.78
stage8_inst.in7\[14\],359.2
_00759_,358.88
net156,358.64
_02020_,356.88
_01417_,356.515
_27784_,356.48
_02978_,356.32
_06852_,356.22
net172,355.77
_33900_,355.72
_37927_,355.46
_26904_,355.4
_35967_,354.74
_02722_,354.56
stage8_inst.in6\[11\],353.72
_37775_,353.68
_33943_,353.56
_35533_,352.36
_13618_,352.02
stage8_inst.in6\[18\],351.72
_24325_,351.48
_02480_,351.39
_37727_,350.93
_16512_,350.48
_03025_,350
stage8_inst.in6\[7\],349.7
stage8_inst.stage4_upper.stage2_pair0.butterfly_inst.mul_inst.b\[20\],347.18
_36624_,346.72
_13840_,346.11
_00693_,345.28
_00682_,345.25
stage8_inst.in7\[15\],344.83
_06721_,344.75
_35006_,344.12
_20079_,344.06
_03024_,343.24
_20364_,343.1
_26194_,343.04
_02606_,342.62
_02322_,342.275
_26509_,342.26
stage8_inst.stage4_upper.stage2_pair0.butterfly_inst.mul_inst.b\[14\],341.4
_31661_,341.18
_02938_,341.02
_25016_,340.98
_14410_,340.69
_02922_,340.36
_39119_,340.12
_37872_,339.975
_13798_,339.26
_02481_,339.235
_31534_,338.84
_38434_,338.62
_27538_,338.16
_37618_,337.08
_02975_,336.8
_25002_,336.52
_02255_,336.2
stage8_inst.in3\[8\],334.94
stage8_inst.in6\[19\],334.6
_00441_,333.78
_04280_,333.58
net22,333.1
_36978_,332.6
_36711_,332.56
_04278_,332.54
_01393_,331.16
_37258_,330.44
stage8_inst.stage4_upper.stage2_pair0.butterfly_inst.mul_inst.b\[21\],330.28
_37505_,329.47
_41850_,329.355
_41565_,329.215
_02973_,329.07
_04764_,328.94
_25452_,328.87
_31499_,328.18
_01483_,328.08
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.mul_inst.b\[6\],327.74
stage8_inst.in1\[30\],327.46
_02488_,326.96
_29757_,326.74
_37219_,326.64
_09759_,326.525
_04929_,326.23
stage8_inst.stage4_upper.stage2_pair1.butterfly_inst.mul_inst.b\[21\],325.94
_13827_,325.72
_12659_,325.36
_02977_,325.2
_31498_,325.08
_02788_,325.01
_14552_,324.8
_00375_,323.88
stage8_inst.stage4_upper.stage2_pair0.butterfly_inst.mul_inst.b\[17\],323.76
_29756_,323.72
_36096_,323.44
_16841_,323.18
_03028_,323.02
_31560_,323
_15781_,322.76
stage8_inst.in7\[17\],322.52
stage8_inst.in3\[27\],322.04
_20430_,321.99
_04183_,321.79
_36216_,320.87
stage8_inst.in6\[13\],320.54
_25004_,320.36
_02911_,320.075
_25594_,319.04
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.mul_inst.b\[15\],318.9
_02427_,318.845
_22403_,318.58
stage8_inst.in6\[14\],318.52
net155,318.4
stage8_inst.stage4_upper.stage2_pair0.butterfly_inst.mul_inst.b\[18\],318.32
stage8_inst.in6\[16\],318.3
_00129_,318.18
_37539_,317.93
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.mul_inst.b\[7\],317.92
_06484_,317.795
_22918_,317.78
_03821_,317.505
stage8_inst.in4\[28\],317.44
stage8_inst.in7\[21\],317.36
_02959_,317.12
_03283_,317.105
_25008_,316.76
_06015_,316.705
_24312_,316.64
_00825_,316.25
_36712_,316.02
_20417_,315.76
stage8_inst.in1\[31\],315.02
_36215_,314.96
_37374_,314.66
_36694_,314.39
_38328_,314.35
stage8_inst.in3\[23\],313.52
_29374_,313.48
_29372_,313.03
_25668_,312.855
_02991_,312.74
_37237_,312.58
_20371_,312.275
_37271_,312.2
stage8_inst.in3\[6\],312.08
_03250_,311.995
stage8_inst.in6\[23\],311.97
stage8_inst.in6\[17\],311.54
_35160_,310.55
_13133_,310.18
_34973_,310.11
_01249_,310.08
stage8_inst.stage4_lower.stage2_pair0.butterfly_inst.mul_inst.b\[31\],309.92
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.mul_inst.b\[14\],309.665
_02563_,309.175
_13589_,309.055
_25662_,307.85
net322,307.36
_02671_,307.22
_03996_,307.05
_03634_,307.02
_27371_,306.995
_24330_,306.72
_07792_,306.635
_37077_,306.36
_36755_,306.255
_41971_,306.085
_15660_,306.06
_40039_,305.88
_03261_,305.84
_27786_,305.31
_00046_,305.125
_37264_,305.08
_36700_,304.86
_03308_,304.73
_25657_,304.26
_40035_,304.26
_02539_,304.06
net124,304.03
_00130_,303.96
_37677_,303.71
_42289_,303.44
stage8_inst.in7\[25\],303.34
_06417_,303.33
net219,303.1
_14431_,302.59
_33993_,302.37
_26323_,301.88
_07281_,301.75
_08124_,301.56
_42541_,301.12
_01786_,300.7
_00371_,300.62
stage8_inst.stage4_upper.stage2_pair1.butterfly_inst.mul_inst.b\[11\],300.62
stage8_inst.stage4_upper.stage2_pair0.butterfly_inst.mul_inst.b\[13\],300.6
_02939_,300.5
_06488_,300.33
_00529_,300.225
_14906_,300.19
_06945_,300.17
_01803_,299.86
_14282_,299.65
_07213_,299.52
_37239_,299.26
_06864_,299.13
_15034_,298.75
_41334_,298.66
_02682_,298.6
_20078_,298.4
_26200_,298.3
_01391_,298.28
_03371_,297.67
_41532_,297.63
_00127_,297.58
stage8_inst.in6\[21\],297.56
stage8_inst.stage4_lower.stage2_pair0.butterfly_inst.mul_inst.b\[9\],297.33
_00247_,297.1
_20348_,297.1
_14445_,296.675
_09558_,296.545
_02284_,296.455
_20904_,296.24
_03040_,295.875
_13211_,295.76
_20516_,295.3
_38226_,295.24
_02698_,294.92
_16780_,294.7
_01798_,294.1
stage8_inst.stage4_lower.stage2_pair0.butterfly_inst.mul_inst.b\[11\],294.08
_36188_,293.92
_26121_,293.61
_33763_,293.56
_01386_,293.46
_35176_,293.36
_04380_,293.34
_02654_,293.24
_02890_,292.93
_00125_,292.86
stage8_inst.in3\[25\],292.8
_37234_,292.73
stage8_inst.in3\[24\],292.7
_34983_,292.66
stage8_inst.in4\[16\],292.27
_20994_,291.87
_20380_,291.66
_37675_,291.63
_01789_,291.41
_05104_,291.315
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.mul_inst.b\[18\],291.23
_00122_,290.99
stage8_inst.in7\[20\],290.78
_01806_,290.26
_24350_,289.72
_06845_,289.45
_02969_,289.22
_13832_,289.2
_25515_,288.825
_00314_,288.74
_02913_,288.74
stage8_inst.in6\[22\],288.12
_25685_,287.32
stage8_inst.stage4_lower.stage2_pair0.butterfly_inst.mul_inst.b\[21\],287.26
_22686_,286.94
_35184_,286.94
_25444_,286.82
_22341_,286.63
_31512_,286.47
_00671_,286.075
_02709_,285.94
_01932_,285.93
_00053_,285.83
_01791_,285.37
_01795_,285.2
_14918_,285.08
_24342_,284.76
_08516_,284.705
_29654_,284.25
_03338_,284.17
net298,284.12
_00748_,283.82
_02957_,283.64
_06730_,283.5
_02958_,283.465
_08723_,283.415
stage8_inst.in7\[22\],283.38
_29593_,283.325
_02208_,282.98
net290,282.9
_36691_,282.86
stage8_inst.in4\[17\],282.84
_03141_,282.82
_31638_,282.79
_25985_,282.52
_03239_,282.4
_01976_,282.18
_26903_,281.795
_02371_,281.4
_15368_,281.3
_25399_,280.215
_26898_,279.88
_00367_,279.76
_35217_,279.76
_20907_,279.73
stage8_inst.stage4_upper.stage2_pair1.butterfly_inst.mul_inst.b\[22\],279.68
_02618_,279.64
_34999_,279.59
net8,279.18
_08721_,279.14
_31623_,278.9
stage8_inst.stage4_lower.stage2_pair0.butterfly_inst.mul_inst.b\[18\],278.725
_00365_,278.395
_11102_,278.14
_10466_,277.965
_25035_,277.46
stage8_inst.in6\[31\],277.32
_32663_,277.22
_40030_,277.18
_38215_,277.17
net314,277.1
_36224_,277.02
_04720_,277.005
_25990_,276.63
_01396_,276.44
_04358_,276.43
_22442_,276.38
_06551_,276.23
_25010_,276.215
_24301_,275.8
stage8_inst.in7\[24\],275.66
_13851_,275.575
_13974_,275.505
_26906_,275.35
_08861_,275.26
_08517_,274.92
_27365_,274.8
stage8_inst.in6\[3\],274.72
_09657_,274.495
_35192_,273.86
_31691_,273.82
_39957_,273.8
_01494_,273.55
_39331_,273.52
_42519_,273.48
_04287_,273.28
_10019_,272.83
_09093_,272.42
_02982_,272.265
_14907_,272.2
_24298_,272.13
stage8_inst.stage4_upper.stage2_pair0.butterfly_inst.mul_inst.b\[11\],271.37
_22375_,271.2
_06569_,271.19
stage8_inst.in7\[13\],270.95
_31376_,270.8
_14417_,270.79
_35132_,270.615
_06818_,270.39
_09090_,270.32
_41664_,270.26
_02646_,269.63
stage8_inst.in4\[29\],269.58
_08612_,269.08
_02964_,269.07
clknet_3_5__leaf_clk,268.96
_01757_,268.925
_06921_,268.87
_14321_,268.86
_14274_,268.665
_00370_,268.4
_04289_,268.32
_08674_,268.14
_24766_,268.09
stage8_inst.stage4_upper.stage2_pair1.butterfly_inst.mul_inst.b\[29\],267.54
_39961_,267.42
_02734_,267.19
_20034_,267.14
net376,267.14
_02961_,266.8
_42234_,266.79
_40027_,266.68
_23986_,266.5
_00244_,266.42
_06606_,266.02
_24535_,265.94
_00368_,265.82
_08253_,265.7
_25510_,265.53
_33317_,265.16
_02593_,265
_35154_,264.46
_09091_,264.36
_03590_,264.32
_24413_,264.28
_10981_,264.17
_06046_,264.09
_38136_,263.79
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.mul_inst.b\[5\],263.78
_36703_,263.64
_08072_,263.52
_00366_,263.44
_23959_,263.2
_02947_,263.16
_24005_,262.86
_25001_,262.84
_01257_,262.78
_06311_,262.675
_37323_,262.18
_38229_,262.02
_08428_,261.82
_01066_,261.6
_07529_,261.34
_13809_,261.18
_05466_,261.175
_20908_,261.08
_22512_,261.08
_20480_,260.98
stage8_inst.stage4_lower.stage2_pair0.butterfly_inst.mul_inst.b\[12\],260.96
_42311_,260.84
stage8_inst.in4\[23\],260.78
stage8_inst.in3\[28\],260.56
_14015_,260.28
_11080_,260.145
_37021_,260.14
_02368_,260.125
_37361_,260.075
_37351_,259.98
_08725_,259.36
_36701_,259.26
stage8_inst.in4\[24\],259.04
_05828_,259.005
_22293_,259
_38326_,259
_23950_,258.96
_00248_,258.86
_02914_,258.86
_08515_,258.74
_37903_,258.64
_16346_,258.425
_08797_,258.12
_36646_,258.05
_05082_,257.82
_14289_,257.77
_07927_,257.615
stage8_inst.stage4_upper.stage2_pair0.butterfly_inst.mul_inst.b\[19\],257.6
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.mul_inst.b\[20\],257.505
_38224_,257.42
_41389_,257.06
_08355_,257.01
_01472_,256.945
stage8_inst.in4\[26\],256.86
stage8_inst.in4\[27\],256.84
_33749_,256.32
_02915_,256.28
stage8_inst.in6\[12\],255.66
_25866_,255.6
_00605_,255.3
_03197_,255.11
_31904_,254.98
_02954_,254.685
_01778_,254.34
_29658_,254.34
_03152_,254.31
_07851_,254.285
_39959_,254.17
_35948_,254.16
_03023_,253.88
_25198_,253.84
stage8_inst.in6\[15\],253.78
_24308_,253.74
_23994_,253.68
_15369_,253.62
_41400_,253.465
_01782_,253.3
_22294_,252.98
_37942_,252.84
_05653_,252.69
_41323_,252.275
_02553_,252.075
_02918_,252
_17959_,251.92
_22738_,251.84
_02378_,251.695
_03075_,251.675
stage8_inst.in4\[18\],251.56
_08718_,251.48
_37417_,251.44
stage8_inst.stage4_upper.stage2_pair0.butterfly_inst.mul_inst.b\[16\],251.44
_25460_,251.14
_24398_,251.02
_03195_,250.87
_25021_,250.6
_39357_,250.42
_02578_,250.06
_26327_,249.93
_20424_,249.88
_25487_,249.84
_04446_,249.82
_08301_,249.74
_29678_,249.5
_42201_,249.455
_02206_,249.32
net319,249.32
_04900_,249.22
_02064_,249.14
_37235_,249.04
_36926_,249.02
_24991_,248.84
_37694_,248.72
stage8_inst.stage4_upper.stage2_pair0.butterfly_inst.mul_inst.b\[9\],248.7
_33748_,248.5
_00660_,248.4
_15776_,248.38
_40037_,248.195
_29655_,248.1
_01735_,247.7
_01780_,247.66
stage8_inst.in4\[19\],247.52
_24353_,247.4
net163,247.3
_38045_,247.08
_00126_,247.06
_00378_,246.98
stage8_inst.in6\[4\],246.97
_37365_,246.88
_22551_,246.87
_00420_,246.63
_00123_,246.6
_20431_,246.47
_25447_,246.43
_33641_,246.315
_37203_,246.12
_20514_,246.06
_01261_,246.04
_02086_,245.945
_37241_,245.92
_37240_,245.76
net149,245.71
_23833_,245.54
_22784_,245.5
_06045_,245.415
_15653_,245.26
stage8_inst.stage4_upper.stage2_pair1.butterfly_inst.mul_inst.b\[30\],245.17
_03053_,245.12
_14432_,245.11
_10260_,244.96
_06043_,244.95
_08224_,244.94
_01318_,244.88
_41301_,244.8
_25504_,244.65
_16840_,244.465
_02568_,244.26
_23800_,244.22
_22739_,244.18
_16510_,244.11
_27781_,244.06
_34964_,243.86
_37207_,243.51
_23939_,243.48
_08188_,243.46
_35588_,243.44
_08300_,243.36
_35047_,243.24
_36683_,243.18
_41894_,243
_35223_,242.94
_22593_,242.9
_04545_,242.88
_03722_,242.74
_01428_,242.63
_22834_,242.58
_24037_,242.51
_36648_,242.48
_09092_,242.43
_05291_,242.32
_29681_,242.24
_07511_,241.58
_26513_,241.475
_00113_,241.4
_25440_,241.35
_04512_,241.085
stage8_inst.in7\[3\],241.02
_31695_,240.97
_13467_,240.85
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.mul_inst.b\[27\],240.7
_00912_,240.59
_15233_,240.52
_09088_,240.44
_02293_,240.4
net304,240.33
_06954_,240.26
_24013_,240.175
_01000_,240.165
_23987_,240.1
_01808_,239.99
_00374_,239.82
_25481_,239.81
_35960_,239.64
_24352_,239.635
_14313_,239.4
_00240_,239.12
_02624_,239.11
_37574_,238.93
_10739_,238.82
_27777_,238.8
_32891_,238.78
_22194_,238.64
_01801_,238.56
_17727_,238.52
_04084_,238.43
_02141_,237.86
_02075_,237.85
_13833_,237.84
_36278_,237.8
_36693_,237.53
_25490_,237.52
_33772_,237.44
_22154_,237.12
net454,237.08
stage8_inst.in4\[25\],237.04
_02219_,237
_01910_,236.995
_15367_,236.88
_23992_,236.8
_15035_,236.71
_03316_,236.64
_08394_,236.59
_41312_,236.495
_06203_,236.31
_15648_,236.3
_35942_,236.295
_23979_,236.28
_06866_,236.115
_37760_,235.92
_33686_,235.76
_07891_,235.185
_02359_,235.165
_06161_,235.14
_05444_,235.06
_20821_,234.98
stage8_inst.stage4_upper.stage2_pair0.butterfly_inst.mul_inst.b\[5\],234.84
_06166_,234.79
_35046_,234.77
_08128_,234.74
_25479_,234.685
_14330_,234.66
_22510_,234.56
_00318_,234.54
_36679_,234.48
_16349_,234.43
_08476_,234.42
_36706_,234.28
_31517_,233.91
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.mul_inst.b\[10\],233.83
_01713_,233.76
stage8_inst.in1\[27\],233.735
_37072_,233.6
_31596_,233.3
_25592_,233.12
_01899_,233.045
_35234_,233.02
_15224_,232.875
_11344_,232.74
stage8_inst.stage4_upper.stage2_pair0.butterfly_inst.mul_inst.b\[12\],232.5
_39898_,232.46
_14266_,232.35
stage8_inst.in3\[26\],232.12
_41839_,232.1
_04314_,231.92
_04901_,231.76
net354,231.64
stage8_inst.in4\[22\],231.45
_11124_,231.4
_17725_,231.385
_23971_,231.17
_27779_,231.08
_25475_,230.97
_33583_,230.61
_06242_,230.59
_02495_,230.48
_11168_,230.38
_37968_,230.22
_37972_,230.2
_38211_,230.115
_36496_,230.07
stage8_inst.in4\[31\],229.98
_03163_,229.67
_35494_,229.58
_05543_,229.555
_20072_,229.51
_20075_,229.33
_25456_,229.26
_38380_,229.22
_04435_,229.21
_04601_,229.15
_08073_,229.02
_00313_,228.965
stage8_inst.in6\[25\],228.92
_03064_,228.79
_03788_,228.775
_22058_,228.69
stage8_inst.stage4_upper.stage2_pair0.butterfly_inst.mul_inst.b\[15\],228.63
_20567_,228.615
_27661_,228.12
_08249_,228.04
_20964_,227.97
_41521_,227.915
_14844_,227.875
_00978_,227.81
_04708_,227.73
_03514_,227.635
_01987_,227.52
_18167_,227.46
_10392_,227.44
_24999_,227.39
stage8_inst.in7\[23\],227.32
_10189_,227.28
net455,226.93
_22550_,226.74
stage8_inst.in7\[0\],226.395
_22120_,226.375
_23934_,226.36
_00116_,226.18
_31521_,226.08
stage8_inst.in6\[9\],225.74
_02340_,225.58
_08248_,225.54
net348,225.205
_26204_,225.08
_32782_,225.05
_40021_,224.96
stage8_inst.in4\[5\],224.915
_42552_,224.91
_14260_,224.795
_04150_,224.665
_04830_,224.64
_20379_,224.44
_42475_,224.44
_02554_,224.41
_06228_,224.24
_00114_,223.82
_08396_,223.78
_23826_,223.69
_03656_,223.52
_37800_,223.47
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.mul_inst.b\[17\],223.355
stage8_inst.in3\[11\],223.2
stage8_inst.in4\[21\],222.92
_03492_,222.775
_25041_,222.615
_02097_,222.405
_20402_,222.3
_01132_,222.26
_34970_,222.24
_03305_,222.23
_02449_,222.015
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.mul_inst.b\[16\],221.96
_21966_,221.95
stage8_inst.in6\[8\],221.86
_20031_,221.745
_10673_,221.64
net237,221.625
_06716_,221.62
stage8_inst.in0\[12\],221.575
_02303_,221.545
_03689_,221.5
_01377_,221.46
_02407_,221.41
_04018_,221.195
_36697_,221.08
net377,220.84
_30241_,220.67
_11058_,220.44
_14912_,220.3
_24306_,220.28
stage8_inst.in3\[3\],220.1
_15654_,220.08
net278,220.08
_22245_,220.055
stage8_inst.in3\[12\],219.99
_14296_,219.865
_42508_,219.85
_37495_,219.8
