net,length_um
net62,2074.41
net68,2048.43
net67,2034.08
net41,1920.2
net54,1908.175
net42,1898.21
net48,1894.55
net63,1892
net53,1881.08
net60,1853.87
net59,1841.72
net47,1833.01
net64,1813.96
net38,1793.06
net51,1781.98
net49,1744
net65,1682.23
net55,1649.23
net45,1649.15
net44,1584.37
net43,1581.34
net39,1561.04
net37,1550.92
net40,1450.44
net61,1443.2
net50,1426.42
net46,1421.49
_41356_,1346.14
net96,1270.215
net66,1245.46
net58,1225.48
clk,1208.58
_02223_,1202.99
net80,1188.9
net36,1185.02
net93,1160.91
net303,1159.09
net97,1151.38
net52,1150.32
net57,1134.45
_41444_,1063.31
_02264_,1052.85
net85,1047.46
net56,1038.98
clknet_3_3__leaf_clk,1036.87
net26,1035.34
_02310_,1018.305
_02307_,1016.47
net31,1013.84
net98,1006.5
_02347_,1001.85
net75,991.36
_02326_,990.63
net73,986.2
_02627_,984.28
net109,973.11
net89,963.56
_02233_,961.85
_02332_,961.22
net86,960.1
net23,959.23
net33,952.13
_02342_,942.74
_02212_,938.58
net20,938.18
net2,935.51
_02364_,923.74
net107,920.16
net292,918.73
_02259_,915.7
net81,908.86
_02319_,908.7
net90,905.76
_00463_,902.25
net94,900.3
_02301_,900.12
_10479_,899.45
_41927_,896.125
_02379_,895.05
net70,894.255
net92,884.8
net71,883.44
_02277_,883.375
net34,874.56
clknet_3_1__leaf_clk,867
net74,861.935
net105,861.49
net12,860.14
_02352_,859.23
net28,857.04
net106,857.02
net103,853.32
_42333_,852.24
_02857_,843.9
net19,837.78
_02281_,836.92
net79,836.84
net69,831.95
_02390_,826.75
net110,822.86
_02295_,817.95
net104,817.95
_02357_,816.44
clknet_0_clk,815.22
_35208_,813.77
_34979_,806.18
net10,805.86
net76,797.54
_05006_,795.2
_01516_,794.81
_03898_,793.105
net82,787.18
_02224_,785.77
_02269_,783.47
net102,780.05
_02460_,779.57
net9,779.42
net101,777.2
_02509_,774.56
_03547_,773.86
_02335_,771.19
_02174_,769.525
_02831_,768.41
net328,768.4
_04260_,768.26
_02239_,765.24
_02820_,759.54
_00847_,758.895
net83,757.08
_02290_,755.85
